x,y,theta
5,20,0
5.14,20,0.0317906
5.27993,20.0044,0.0635813
5.41965,20.0133,0.0953719
5.55901,20.0267,0.127163
5.69788,20.0444,0.158953
5.83611,20.0666,0.190744
5.97358,20.0931,0.222534
6.11012,20.124,0.254325
6.24562,20.1593,0.286116
6.37993,20.1988,0.317906
6.51291,20.2425,0.349697
6.64444,20.2905,0.381488
6.77438,20.3426,0.413278
6.90259,20.3988,0.445069
7.02895,20.4591,0.47686
7.15333,20.5234,0.50865
7.27561,20.5916,0.540441
7.39566,20.6636,0.572232
7.51335,20.7394,0.604022
7.62858,20.8189,0.635813
7.74122,20.902,0.635813
7.85387,20.9852,0.635813
7.96651,21.0683,0.635813
8.07915,21.1515,0.635813
8.19179,21.2346,0.635813
8.30444,21.3177,0.635813
8.41708,21.4009,0.635813
8.52972,21.484,0.635813
8.64236,21.5671,0.635813
8.75501,21.6503,0.635813
8.86765,21.7334,0.635813
8.98029,21.8165,0.635813
9.09293,21.8997,0.635813
9.20558,21.9828,0.635813
9.31822,22.066,0.635813
9.43086,22.1491,0.635813
9.5435,22.2322,0.635813
9.65615,22.3154,0.635813
9.76879,22.3985,0.635813
9.88143,22.4816,0.635813
9.99407,22.5648,0.635813
10.1067,22.6479,0.635813
10.2194,22.731,0.635813
10.332,22.8142,0.635813
10.4446,22.8973,0.635813
10.5573,22.9805,0.635813
10.6699,23.0636,0.635813
10.7826,23.1467,0.635813
10.8952,23.2299,0.635813
11.0079,23.313,0.635813
11.1205,23.3961,0.635813
11.2331,23.4793,0.635813
11.3458,23.5624,0.635813
11.4584,23.6456,0.635813
11.5711,23.7287,0.635813
11.6837,23.8118,0.635813
11.7964,23.895,0.635813
11.909,23.9781,0.635813
12.0216,24.0612,0.635813
12.1343,24.1444,0.635813
12.2469,24.2275,0.635813
12.3596,24.3106,0.635813
12.4722,24.3938,0.635813
12.5849,24.4769,0.635813
12.6975,24.5601,0.635813
12.8101,24.6432,0.635813
12.9228,24.7263,0.635813
13.0354,24.8095,0.635813
13.1481,24.8926,0.635813
13.2607,24.9757,0.635813
13.3733,25.0589,0.635813
13.486,25.142,0.635813
13.5986,25.2251,0.635813
13.7113,25.3083,0.635813
13.8239,25.3914,0.635813
13.9366,25.4746,0.635813
14.0492,25.5577,0.635813
14.1618,25.6408,0.635813
14.2745,25.724,0.635813
14.3871,25.8071,0.635813
14.4998,25.8902,0.621183
14.6136,25.9717,0.606553
14.7286,26.0515,0.591923
14.8448,26.1296,0.577293
14.9621,26.206,0.562663
15.0806,26.2807,0.548033
15.2001,26.3537,0.533403
15.3206,26.4248,0.518773
15.4422,26.4943,0.504143
15.5648,26.5619,0.489514
15.6883,26.6277,0.474884
15.8128,26.6917,0.460254
15.9383,26.7539,0.445624
16.0646,26.8143,0.430994
16.1918,26.8727,0.416364
16.3198,26.9294,0.401734
16.4487,26.9841,0.387104
16.5783,27.037,0.372474
16.7087,27.0879,0.357844
16.8399,27.1369,0.343214
16.9717,27.1841,0.311424
17.105,27.227,0.279633
17.2395,27.2656,0.247842
17.3752,27.2999,0.216052
17.512,27.33,0.184261
17.6496,27.3556,0.15247
17.788,27.3769,0.12068
17.927,27.3937,0.0888891
18.0664,27.4061,0.0570985
18.2062,27.4141,0.0253078
18.3462,27.4177,-0.0064828
18.4861,27.4168,-0.0382734
18.626,27.4114,-0.0700641
18.7657,27.4016,-0.101855
18.905,27.3874,-0.133645
19.0437,27.3687,-0.165436
19.1818,27.3457,-0.197227
19.3191,27.3182,-0.229017
19.4554,27.2865,-0.260808
19.5907,27.2504,-0.292599
19.7248,27.21,-0.324389
19.8575,27.1653,-0.35618
19.9887,27.1165,-0.38797
20.1183,27.0636,-0.419761
20.2461,27.0065,-0.451552
20.3721,26.9454,-0.483342
20.496,26.8804,-0.515133
20.6179,26.8114,-0.546924
20.7375,26.7386,-0.578714
20.8547,26.662,-0.610505
20.9694,26.5817,-0.642296
21.0815,26.4979,-0.674086
21.1908,26.4105,-0.705877
21.2974,26.3197,-0.737668
21.401,26.2255,-0.769458
21.5016,26.1281,-0.801249
21.599,26.0276,-0.833039
21.6931,25.924,-0.86483
21.784,25.8174,-0.896621
21.8714,25.7081,-0.928411
21.9552,25.596,-0.943041
22.0375,25.4827,-0.957671
22.118,25.3682,-0.972301
22.1969,25.2525,-0.986931
22.2741,25.1357,-1.00156
22.3495,25.0178,-1.01619
22.4233,24.8987,-1.03082
22.4952,24.7787,-1.04545
22.5654,24.6575,-1.06008
22.6339,24.5354,-1.07471
22.7005,24.4123,-1.07471
22.7672,24.2892,-1.07471
22.8338,24.166,-1.07471
22.9004,24.0429,-1.07471
22.9671,23.9198,-1.07471
23.0337,23.7967,-1.07471
23.1003,23.6735,-1.07471
23.167,23.5504,-1.07471
23.2336,23.4273,-1.07471
23.3003,23.3042,-1.07471
23.3669,23.181,-1.07471
23.4335,23.0579,-1.07471
23.5002,22.9348,-1.07471
23.5668,22.8117,-1.07471
23.6335,22.6886,-1.07471
23.7001,22.5654,-1.07471
23.7667,22.4423,-1.07471
23.8334,22.3192,-1.07471
23.9,22.1961,-1.07471
23.9666,22.0729,-1.07471
24.0333,21.9498,-1.07471
24.0999,21.8267,-1.07471
24.1666,21.7036,-1.07471
24.2332,21.5804,-1.07471
24.2998,21.4573,-1.07471
24.3665,21.3342,-1.07471
24.4331,21.2111,-1.07471
24.4997,21.088,-1.07471
24.5664,20.9648,-1.07471
24.633,20.8417,-1.07471
24.6997,20.7186,-1.07471
24.7663,20.5955,-1.07471
24.8329,20.4723,-1.07471
24.8996,20.3492,-1.07471
24.9662,20.2261,-1.07471
25.0329,20.103,-1.07471
25.0995,19.9798,-1.07471
25.1661,19.8567,-1.07471
25.2328,19.7336,-1.07471
25.2994,19.6105,-1.07471
25.366,19.4873,-1.07471
25.4327,19.3642,-1.07471
25.4993,19.2411,-1.07471
25.566,19.118,-1.07471
25.6326,18.9949,-1.07471
25.6992,18.8717,-1.07471
25.7659,18.7486,-1.07471
25.8325,18.6255,-1.07471
25.8991,18.5024,-1.07471
25.9658,18.3792,-1.07471
26.0324,18.2561,-1.06008
26.1009,18.134,-1.04545
26.1711,18.0129,-1.03082
26.243,17.8928,-1.01619
26.3168,17.7738,-1.00156
26.3922,17.6558,-0.986931
26.4694,17.539,-0.972301
26.5483,17.4234,-0.957671
26.6288,17.3089,-0.943041
26.7111,17.1956,-0.928411
26.7949,17.0835,-0.913781
26.8804,16.9726,-0.899152
26.9676,16.863,-0.884522
27.0563,16.7547,-0.869892
27.1466,16.6477,-0.855262
27.2384,16.5421,-0.840632
27.3318,16.4377,-0.826002
27.4267,16.3348,-0.811372
27.5231,16.2333,-0.796742
27.6209,16.1332,-0.782112
27.7203,16.0345,-0.767482
27.821,15.9373,-0.752852
27.9232,15.8416,-0.738222
28.0267,15.7474,-0.723592
28.1316,15.6547,-0.708962
28.2379,15.5635,-0.694333
28.3455,15.4739,-0.679703
28.4544,15.3859,-0.665073
28.5645,15.2995,-0.650443
28.676,15.2148,-0.635813
28.7886,15.1316,-0.621183
28.9025,15.0501,-0.606553
29.0175,14.9703,-0.591923
29.1337,14.8922,-0.577293
29.251,14.8158,-0.562663
29.3694,14.7411,-0.548033
29.4889,14.6682,-0.533403
29.6094,14.597,-0.518773
29.731,14.5276,-0.504143
29.8536,14.46,-0.489514
29.9772,14.3941,-0.489514
30.1007,14.3283,-0.489514
30.2243,14.2625,-0.489514
30.3478,14.1967,-0.489514
30.4714,14.1308,-0.489514
30.595,14.065,-0.489514
30.7185,13.9992,-0.489514
30.8421,13.9334,-0.489514
30.9656,13.8675,-0.489514
31.0892,13.8017,-0.489514
