t,x,y,theta,v,steer,target_x,target_y,cte
0,5,20,0,0,0.520262,7.02895,20.4591,0
0.05,5.00625,20,0.00132618,0.125,0.520265,7.02895,20.4591,0
0.1,5.01608,20,0.00341272,0.196667,0.520274,7.02895,20.4591,1.30408e-05
0.15,5.02943,20.0001,0.00624395,0.266852,0.522298,7.15333,20.5234,5.85752e-05
0.2,5.04606,20.0002,0.00978989,0.332653,0.522321,7.15333,20.5234,0.000162428
0.25,5.06581,20.0004,0.014001,0.395034,0.522353,7.15333,20.5234,0.000355792
0.3,5.08851,20.0007,0.0188407,0.453966,0.524241,7.27561,20.5916,0.00231002
0.35,5.11397,20.0012,0.024294,0.509295,0.524291,7.27561,20.5916,0.00198027
0.4,5.14204,20.0018,0.0303097,0.561752,0.524353,7.27561,20.5916,0.00176971
0.45,5.1726,20.0028,0.0368569,0.611304,0.524428,7.27561,20.5916,0.00172444
0.5,5.20548,20.004,0.0439068,0.658118,0.526272,7.39566,20.6636,0.00189115
0.55,5.24055,20.0055,0.0514588,0.702009,0.526365,7.39566,20.6636,0.00356535
0.6,5.27768,20.0074,0.0594605,0.743643,0.528081,7.51335,20.7394,0.00311463
0.65,5.31674,20.0098,0.0679153,0.782656,0.52819,7.51335,20.7394,0.00295337
0.7,5.35763,20.0125,0.076772,0.819665,0.528313,7.51335,20.7394,0.00509823
0.75,5.40024,20.0158,0.086009,0.854612,0.529967,7.62858,20.8189,0.00430349
0.8,5.44444,20.0196,0.0956361,0.887332,0.530105,7.62858,20.8189,0.0038881
0.85,5.49015,20.024,0.105603,0.91838,0.530259,7.62858,20.8189,0.0060852
0.9,5.53727,20.029,0.115892,0.947692,0.531852,7.74122,20.902,0.0050637
0.95,5.5857,20.0346,0.126517,0.975101,0.532019,7.74122,20.902,0.00451422
1,5.63535,20.041,0.13743,1.00112,0.530432,7.85387,20.9852,0.00646507
1.05,5.68617,20.048,0.148574,1.02601,0.53061,7.85387,20.9852,0.005361
1.1,5.73806,20.0558,0.159975,1.04934,0.526361,7.96651,21.0683,0.00481642
1.15,5.79098,20.0643,0.171512,1.07221,0.526549,7.96651,21.0683,0.00629674
1.2,5.84485,20.0736,0.183282,1.09338,0.526755,7.96651,21.0683,0.00524543
1.25,5.89959,20.0838,0.195273,1.11337,0.519947,8.07915,21.1515,0.00483003
1.3,5.95519,20.0948,0.207291,1.13359,0.520161,8.07915,21.1515,0.00564816
1.35,6.01155,20.1066,0.21951,1.15198,0.51135,8.19179,21.2346,0.00477015
1.4,6.06871,20.1194,0.231679,1.17114,0.511572,8.19179,21.2346,0.00590739
1.45,6.12654,20.133,0.244034,1.18832,0.50104,8.30444,21.3177,0.00456198
1.5,6.18508,20.1476,0.256272,1.20673,0.501269,8.30444,21.3177,0.00589461
1.55,6.24424,20.1631,0.268682,1.223,0.489249,8.41708,21.4009,0.00406996
1.6,6.30406,20.1796,0.280917,1.24092,0.489485,8.41708,21.4009,0.00298834
1.65,6.36442,20.197,0.293314,1.25655,0.489742,8.41708,21.4009,0.0031493
1.7,6.42527,20.2154,0.305864,1.27135,0.475729,8.52972,21.484,0.00158617
1.75,6.4867,20.2348,0.318155,1.28833,0.475991,8.52972,21.484,0.00167869
1.8,6.54857,20.2551,0.330593,1.3028,0.460814,8.64236,21.5671,-0.000375619
1.85,6.611,20.2766,0.342728,1.31994,0.461083,8.64236,21.5671,-0.000485028
1.9,6.67383,20.299,0.355004,1.33436,0.444894,8.75501,21.6503,-0.00307035
1.95,6.73721,20.3225,0.36694,1.35184,0.445169,8.75501,21.6503,-0.00352297
2,6.80098,20.347,0.379012,1.36638,0.428102,8.86765,21.7334,-0.00668765
2.05,6.86529,20.3726,0.390711,1.38436,0.428384,8.86765,21.7334,-0.00763352
2.1,6.92997,20.3992,0.402543,1.39919,0.410555,8.98029,21.8165,-0.0114345
2.15,6.9952,20.427,0.413972,1.41785,0.393095,9.09293,21.8997,-0.0130334
2.2,7.06102,20.4559,0.425014,1.43783,0.393367,9.09293,21.8997,-0.0175515
2.25,7.12727,20.4859,0.436191,1.45439,0.375353,9.20558,21.9828,-0.0200267
2.3,7.19412,20.5171,0.446956,1.47523,0.375632,9.20558,21.9828,-0.0253667
2.35,7.26141,20.5493,0.457854,1.49228,0.357137,9.31822,22.066,-0.028904
2.4,7.32931,20.5828,0.468315,1.51403,0.357424,9.31822,22.066,-0.0351489
2.45,7.39765,20.6174,0.478909,1.5317,0.338514,9.43086,22.1491,-0.0399456
2.5,7.46663,20.6532,0.489044,1.55451,0.338808,9.43086,22.1491,-0.0471886
2.55,7.53606,20.6901,0.499308,1.57294,0.319541,9.5435,22.2322,-0.0534551
2.6,7.60616,20.7284,0.509094,1.59698,0.301182,9.65615,22.3154,-0.0595485
2.65,7.67702,20.7679,0.51843,1.62293,0.301465,9.65615,22.3154,-0.0698038
2.7,7.74842,20.8086,0.527897,1.6442,0.282847,9.76879,22.3985,-0.0794317
2.75,7.82062,20.8507,0.536894,1.67154,0.265211,9.88143,22.4816,-0.0884335
2.8,7.8937,20.8942,0.545449,1.70087,0.265484,9.88143,22.4816,-0.0968322
2.85,7.96744,20.939,0.554135,1.72506,0.24765,9.99407,22.5648,-0.104616
2.9,8.04209,20.9852,0.562356,1.75579,0.230839,10.1067,22.6479,-0.111778
2.95,8.11775,21.0329,0.570141,1.78861,0.231103,10.1067,22.6479,-0.118342
3,8.19418,21.0819,0.578053,1.81579,0.214127,10.2194,22.731,-0.1243
3.05,8.27165,21.1324,0.585503,1.85,0.198192,10.332,22.8142,-0.12964
3.1,8.35026,21.1845,0.592519,1.8864,0.183238,10.4446,22.8973,-0.134383
3.15,8.43011,21.2383,0.599125,1.9251,0.183478,10.4446,22.8973,-0.138549
3.2,8.51094,21.2935,0.605852,1.95752,0.168378,10.5573,22.9805,-0.142139
3.25,8.59303,21.3503,0.612139,1.99735,0.154258,10.6699,23.0636,-0.14513
3.3,8.67648,21.4089,0.618012,2.03933,0.141057,10.7826,23.1467,-0.147544
3.35,8.76139,21.4693,0.623491,2.08356,0.141273,10.7826,23.1467,-0.149398
3.4,8.84748,21.5312,0.629077,2.12093,0.127912,10.8952,23.2299,-0.150705
3.45,8.93505,21.5949,0.634236,2.16607,0.115463,11.0079,23.313,-0.151435
3.5,9.0242,21.6605,0.638989,2.2133,0.103863,11.1205,23.3961,-0.151609
3.55,9.11501,21.728,0.643357,2.26272,0.0930559,11.2331,23.4793,-0.15125
3.6,9.20759,21.7974,0.647357,2.31413,0.082988,11.3458,23.5624,-0.150377
3.65,9.30201,21.8688,0.651003,2.36734,0.0736089,11.4584,23.6456,-0.149011
3.7,9.39834,21.9422,0.654311,2.42214,0.0648722,11.5711,23.7287,-0.147171
3.75,9.49667,22.0176,0.657292,2.47835,0.0567352,11.6837,23.8118,-0.144879
3.8,9.59704,22.0951,0.659959,2.53579,0.0491585,11.7964,23.895,-0.142156
3.85,9.69952,22.1746,0.662323,2.59426,0.0421057,11.909,23.9781,-0.139024
3.9,9.80414,22.2562,0.664393,2.65358,0.0355436,12.0216,24.0612,-0.135507
3.95,9.91096,22.3398,0.66618,2.71358,0.0294421,12.1343,24.1444,-0.13163
4,10.02,22.4256,0.667693,2.77407,0.0237732,12.2469,24.2275,-0.127418
4.05,10.1313,22.5133,0.668941,2.83488,0.0185118,12.3596,24.3106,-0.1229
4.1,10.2449,22.6031,0.669934,2.89585,0.00952266,12.5849,24.4769,-0.118104
4.15,10.361,22.6951,0.670457,2.96267,0.00574592,12.6975,24.5601,-0.113051
4.2,10.4795,22.7891,0.670778,3.0251,0.0022539,12.8101,24.6432,-0.107812
4.25,10.6004,22.885,0.670907,3.08684,-0.000967671,12.9228,24.7263,-0.102416
4.3,10.7236,22.9828,0.670851,3.14461,-0.00393127,13.0354,24.8095,-0.0968996
4.35,10.8487,23.082,0.670618,3.19383,-0.00885191,13.2607,24.9757,-0.0913054
4.4,10.9754,23.1826,0.670088,3.23541,-0.0108762,13.3733,25.0589,-0.0856761
4.45,11.1038,23.2843,0.669428,3.27533,-0.0127077,13.486,25.142,-0.080064
4.5,11.2336,23.387,0.668649,3.31173,-0.0143527,13.5986,25.2251,-0.0744988
4.55,11.3648,23.4907,0.66776,3.34506,-0.0169242,13.8239,25.3914,-0.0690078
4.6,11.4973,23.5952,0.666702,3.37408,-0.0179334,13.9366,25.4746,-0.0636192
4.65,11.631,23.7004,0.665572,3.40186,-0.0187995,14.0492,25.5577,-0.0583659
4.7,11.7658,23.8062,0.664379,3.42754,-0.0199994,14.2745,25.724,-0.0532666
4.75,11.9016,23.9126,0.663101,3.45073,-0.0204204,14.3871,25.8071,-0.0483385
4.8,12.0385,24.0195,0.661787,3.47286,-0.0207313,14.4998,25.8902,-0.0436008
4.85,12.1763,24.1268,0.660446,3.49359,-0.0221191,14.6136,25.9717,-0.039064
4.9,12.3149,24.2345,0.659007,3.51151,-0.027481,14.8448,26.1296,-0.0347395
4.95,12.4542,24.3424,0.657214,3.52237,-0.0313436,14.9621,26.206,-0.0306549
5,12.5939,24.4502,0.655164,3.53122,-0.0359938,15.0806,26.2807,-0.0268765
5.05,12.7341,24.558,0.652806,3.53614,-0.0466851,15.3206,26.4248,-0.0234553
5.1,12.8744,24.6652,0.649751,3.53098,-0.0527143,15.4422,26.4943,-0.0204553
5.15,13.0148,24.7718,0.646306,3.5256,-0.0592892,15.5648,26.5619,-0.0179984
5.2,13.1551,24.8777,0.642441,3.5165,-0.0663631,15.6883,26.6277,-0.0161534
5.25,13.2954,24.9827,0.638128,3.504,-0.0807445,15.9383,26.7539,-0.0149922
5.3,13.4352,25.0864,0.632911,3.48168,-0.0881825,16.0646,26.8143,-0.0145892
5.35,13.5747,25.1887,0.627245,3.46069,-0.0959127,16.1918,26.8727,-0.0150913
5.4,13.7139,25.2896,0.621121,3.43712,-0.103888,16.3198,26.9294,-0.0165638
5.45,13.8526,25.3889,0.614534,3.41139,-0.112059,16.4487,26.9841,-0.0190696
5.5,13.9908,25.4864,0.607483,3.38368,-0.120377,16.5783,27.037,-0.0226693
5.55,14.1285,25.5822,0.59997,3.35419,-0.136032,16.8399,27.1369,-0.0274199
5.6,14.2654,25.6758,0.591559,3.31794,-0.143704,16.9717,27.1841,-0.0333649
5.65,14.4017,25.7674,0.582759,3.28401,-0.152715,17.105,27.227,-0.0406289
5.7,14.5374,25.8568,0.573501,3.24833,-0.162934,17.2395,27.2656,-0.0490847
5.75,14.6722,25.9439,0.563726,3.21099,-0.174232,17.3752,27.2999,-0.0562709
5.8,14.8063,26.0286,0.553386,3.17196,-0.186473,17.512,27.33,-0.0623122
5.85,14.9395,26.1109,0.542446,3.13131,-0.199519,17.6496,27.3556,-0.0673407
5.9,15.0718,26.1906,0.530879,3.08915,-0.213233,17.788,27.3769,-0.0722974
5.95,15.2031,26.2677,0.518667,3.04563,-0.227479,17.927,27.3937,-0.0755186
6,15.3334,26.3421,0.505802,3.00092,-0.242121,18.0664,27.4061,-0.0781757
6.05,15.4627,26.4137,0.492287,2.95524,-0.25703,18.2062,27.4141,-0.0804079
6.1,15.5908,26.4825,0.478128,2.90878,-0.272081,18.3462,27.4177,-0.0823511
6.15,15.7179,26.5483,0.463342,2.86177,-0.287158,18.4861,27.4168,-0.0841361
6.2,15.8437,26.6112,0.447951,2.81441,-0.302153,18.626,27.4114,-0.0858875
6.25,15.9684,26.6711,0.43198,2.7669,-0.316966,18.7657,27.4016,-0.0877227
6.3,16.0919,26.728,0.41546,2.71942,-0.331511,18.905,27.3874,-0.0897511
6.35,16.2142,26.782,0.398427,2.67216,-0.345709,19.0437,27.3687,-0.092074
6.4,16.3351,26.8329,0.380917,2.62527,-0.359496,19.1818,27.3457,-0.0947841
6.45,16.4549,26.8808,0.362969,2.57889,-0.372817,19.3191,27.3182,-0.0979655
6.5,16.5733,26.9258,0.344622,2.53316,-0.373463,19.3191,27.3182,-0.101694
6.55,16.6905,26.9679,0.326541,2.49164,-0.38732,19.4554,27.2865,-0.106039
6.6,16.8065,27.0072,0.308045,2.44847,-0.400497,19.5907,27.2504,-0.109871
6.65,16.9211,27.0436,0.28918,2.40606,-0.41298,19.7248,27.21,-0.115212
6.7,17.0344,27.0773,0.269994,2.36443,-0.424759,19.8575,27.1653,-0.120799
6.75,17.1464,27.1083,0.250532,2.32366,-0.425373,19.8575,27.1653,-0.125449
6.8,17.2571,27.1367,0.23135,2.28641,-0.437276,19.9887,27.1165,-0.129303
6.85,17.3666,27.1625,0.211887,2.24829,-0.448357,20.1183,27.0636,-0.13243
6.9,17.4746,27.1857,0.192191,2.21111,-0.458645,20.2461,27.0065,-0.134966
6.95,17.5814,27.2065,0.172305,2.17486,-0.459219,20.2461,27.0065,-0.134103
7,17.6869,27.2248,0.152694,2.1416,-0.469401,20.3721,26.9454,-0.134912
7.05,17.7911,27.2409,0.132895,2.1079,-0.478741,20.496,26.8804,-0.135381
