x,y,theta
5,20,0
5.14,20,0.0146299
5.27999,20.002,0.0292599
5.41993,20.0061,0.0438898
5.55979,20.0123,0.0585197
5.69955,20.0205,0.0731496
5.83918,20.0307,0.0877796
5.97864,20.043,0.102409
6.1179,20.0573,0.117039
6.25695,20.0736,0.131669
6.39573,20.092,0.146299
6.53424,20.1124,0.160929
6.67243,20.1349,0.175559
6.81028,20.1593,0.190189
6.94775,20.1858,0.204819
7.08483,20.2143,0.219449
7.22147,20.2447,0.234079
7.35765,20.2772,0.248709
7.49334,20.3117,0.263339
7.62852,20.3481,0.277969
7.76314,20.3865,0.292599
7.89719,20.4269,0.307228
8.03064,20.4692,0.321858
8.16345,20.5135,0.336488
8.2956,20.5598,0.351118
8.42706,20.6079,0.365748
8.5578,20.658,0.380378
8.68779,20.71,0.395008
8.81701,20.7638,0.409638
8.94543,20.8196,0.424268
9.07301,20.8772,0.438898
9.19974,20.9367,0.453528
9.32559,20.9981,0.468158
9.45053,21.0612,0.482788
9.57453,21.1262,0.497418
9.69756,21.193,0.512047
9.8196,21.2616,0.526677
9.94063,21.332,0.541307
10.0606,21.4041,0.555937
10.1795,21.478,0.570567
10.2974,21.5536,0.585197
10.4141,21.631,0.585197
10.5308,21.7083,0.585197
10.6475,21.7856,0.585197
10.7642,21.863,0.585197
10.8809,21.9403,0.585197
10.9976,22.0176,0.585197
11.1143,22.0949,0.585197
11.231,22.1723,0.585197
11.3477,22.2496,0.585197
11.4644,22.3269,0.585197
11.5811,22.4043,0.585197
11.6978,22.4816,0.585197
11.8145,22.5589,0.585197
11.9312,22.6363,0.585197
12.0479,22.7136,0.585197
12.1646,22.7909,0.585197
12.2813,22.8683,0.585197
12.398,22.9456,0.585197
12.5147,23.0229,0.585197
12.6314,23.1002,0.585197
12.7482,23.1776,0.585197
12.8649,23.2549,0.585197
12.9816,23.3322,0.585197
13.0983,23.4096,0.585197
13.215,23.4869,0.585197
13.3317,23.5642,0.585197
13.4484,23.6416,0.585197
13.5651,23.7189,0.585197
13.6818,23.7962,0.585197
