t,x,y,theta,v,steer,target_x,target_y,cte
0,5,20,0,0,0.257554,7.08483,20.2143,0
0.05,5.00625,20,0.000609733,0.125,0.257557,7.08483,20.2143,0
0.1,5.01815,20,0.00177057,0.237979,0.257564,7.08483,20.2143,7.25519e-06
0.15,5.0354,20,0.00345356,0.345011,0.258717,7.22147,20.2447,3.77986e-05
0.2,5.05768,20.0001,0.00563764,0.44565,0.258743,7.22147,20.2447,0.000114752
0.25,5.08473,20.0003,0.00828924,0.540988,0.259815,7.35765,20.2772,0.00107577
0.3,5.11626,20.0005,0.0113935,0.630616,0.259862,7.35765,20.2772,0.000875847
0.35,5.15203,20.0009,0.0149165,0.715522,0.259925,7.35765,20.2772,0.000760062
0.4,5.19182,20.0015,0.0188353,0.795724,0.260979,7.49334,20.3117,0.000771463
0.45,5.23536,20.0023,0.0231434,0.871079,0.261068,7.49334,20.3117,0.00160719
0.5,5.28247,20.0034,0.0278063,0.942472,0.262076,7.62852,20.3481,0.00131896
0.55,5.33293,20.0048,0.0328211,1.00952,0.262191,7.62852,20.3481,0.00124559
0.6,5.38655,20.0066,0.0381538,1.07303,0.263159,7.76314,20.3865,0.00192432
0.65,5.44314,20.0088,0.0438047,1.13266,0.263301,7.76314,20.3865,0.00159948
0.7,5.50254,20.0114,0.0497407,1.18915,0.264233,7.89719,20.4269,0.0024315
0.75,5.56458,20.0145,0.0559644,1.24215,0.26509,8.03064,20.4692,0.00188627
0.8,5.62908,20.0181,0.0624601,1.29207,0.265262,8.03064,20.4692,0.00172118
0.85,5.69591,20.0223,0.0691981,1.33934,0.266087,8.16345,20.5135,0.00203643
0.9,5.76493,20.027,0.0761819,1.38369,0.266284,8.16345,20.5135,0.00176305
0.95,5.83601,20.0325,0.0833833,1.42569,0.267077,8.2956,20.5598,0.0020233
1,5.90901,20.0386,0.0908067,1.46507,0.267298,8.2956,20.5598,0.00272142
1.05,5.98382,20.0454,0.0984256,1.50235,0.268057,8.42706,20.6079,0.00184986
1.1,6.06031,20.0529,0.106245,1.5373,0.268751,8.5578,20.658,0.00238813
1.15,6.13838,20.0613,0.114253,1.5702,0.268997,8.5578,20.658,0.00154068
1.2,6.21792,20.0704,0.122428,1.60131,0.269656,8.68779,20.71,0.00189004
1.25,6.29884,20.0803,0.130774,1.63048,0.270258,8.81701,20.7638,0.00113669
1.3,6.38102,20.0911,0.139279,1.65792,0.270525,8.81701,20.7638,0.00127734
1.35,6.4644,20.1028,0.147927,1.68386,0.27109,8.94543,20.8196,0.000686303
1.4,6.54888,20.1154,0.156719,1.70818,0.271604,9.07301,20.8772,0.000606965
1.45,6.63437,20.1289,0.165646,1.73107,0.271891,9.07301,20.8772,0.000805995
1.5,6.72081,20.1434,0.174695,1.75267,0.272365,9.19974,20.9367,-6.27019e-05
1.55,6.8081,20.1588,0.183865,1.77294,0.272794,9.32559,20.9981,-0.000106621
1.6,6.89619,20.1752,0.193149,1.792,0.273099,9.32559,20.9981,9.68817e-05
1.65,6.98501,20.1925,0.202538,1.80997,0.273487,9.45053,21.0612,-0.000959182
1.7,7.07448,20.2109,0.212028,1.82685,0.273835,9.57453,21.1262,-0.00100934
1.75,7.16456,20.2303,0.221613,1.84272,0.274157,9.57453,21.1262,-0.000834329
1.8,7.25517,20.2507,0.231288,1.85765,0.274461,9.69756,21.193,-0.00199217
1.85,7.34626,20.2722,0.241047,1.87169,0.274731,9.8196,21.2616,-0.00207395
1.9,7.43778,20.2947,0.250886,1.88491,0.275069,9.8196,21.2616,-0.00194666
1.95,7.52968,20.3182,0.260802,1.8973,0.275293,9.94063,21.332,-0.00312799
2,7.6219,20.3428,0.270787,1.90898,0.275488,10.0606,21.4041,-0.0032562
2.05,7.7144,20.3685,0.280838,1.91998,0.275657,10.1795,21.478,-0.00318713
2.1,7.80713,20.3953,0.290949,1.93033,0.276002,10.1795,21.478,-0.00432222
2.15,7.90006,20.4231,0.301124,1.94,0.276125,10.2974,21.5536,-0.00450574
2.2,7.99313,20.452,0.311352,1.94915,0.276228,10.4141,21.631,-0.00450072
2.25,8.08631,20.482,0.32163,1.95777,0.276586,10.4141,21.631,-0.00552912
2.3,8.17956,20.5131,0.331963,1.96578,0.27517,10.5308,21.7083,-0.00577237
2.35,8.27287,20.5452,0.342284,1.97398,0.272506,10.6475,21.7856,-0.00583425
2.4,8.36624,20.5785,0.352544,1.9825,0.268804,10.7642,21.863,-0.00572583
2.45,8.4597,20.6129,0.362703,1.99152,0.26916,10.7642,21.863,-0.00704064
2.5,8.55315,20.6483,0.372916,1.99915,0.264217,10.8809,21.9403,-0.00723033
